ID,Pergunta,RespostaCorreta,Dificuldade
1,Que objeto redondo é usado para capturar e guardar os Pokémon?,pokebola,Fácil
2,Qual o nome do famoso Pokémon amarelo que solta choques elétricos?,pikachu,Fácil
3,Qual dos Pokémon iniciais de Kanto é do tipo Planta?,bulbassauro,Fácil
4,Que Pokémon evolui para um dragão laranja gigante chamado Charizard?,charmander,Fácil
5,Qual o nome do Pokémon que é uma tartaruga azul com canhões de água nas costas?,blastoise,Fácil
6,"Qual o nome do time de vilões liderado por Giovanni, que usa um ""R"" no peito?",equipe rocket,Fácil
7,Que Pokémon é conhecido por dormir em lugares inconvenientes e bloquear estradas?,snorlax,Fácil
8,Qual o poder especial do Jigglypuff que faz todo mundo dormir?,cantar,Fácil
9,Que Pokémon pássaro lendário representa o elemento Gelo?,articuno,Fácil
10,Qual o nome do rato roxo que evolui para Raticate?,rattata,Fácil
11,Que Pokémon fantasma roxo é conhecido por seu sorriso largo e por pregar peças?,gengar,Fácil
12,Qual o nome do cientista e especialista em Pokémon da cidade de Pallet?,professor carvalho,Fácil
13,Qual o nome do Pokémon que pode se transformar em qualquer outro Pokémon?,ditto,Fácil
14,Que Pokémon do tipo Água é famoso por ser quase inútil antes de evoluir para Gyarados?,magikarp,Fácil
15,Qual o nome da enfermeira que sempre está nos Centros Pokémon para curar seus amigos?,enfermeira joy,Fácil
16,Que Pokémon psíquico é famoso por carregar uma colher?,kadabra,Fácil
17,Qual o nome do pássaro lendário do elemento Fogo?,moltres,Fácil
18,Qual o nome do cavalo de fogo com crina e cauda flamejantes?,ponyta,Fácil
19,Que Pokémon é uma cobra de pedra gigante?,onix,Fácil
20,Qual o nome da policial que sempre aparece nas cidades para manter a ordem?,policial jenny,Fácil
21,Que Pokémon é uma raposa elegante de nove caudas?,ninetales,Fácil
22,Qual o nome do pássaro lendário do elemento Trovão?,zapdos,Fácil
23,Qual o nome do Pokémon que usa um osso como arma e um crânio como capacete?,cubone,Fácil
24,Que item é usado para restaurar a vida de um Pokémon durante uma batalha?,pocao,Fácil
25,"Qual Pokémon é conhecido como o ""ancestral de todos os outros""?",mew,Fácil
26,Qual o nome do Pokémon que é uma cópia genética superpoderosa do Mew?,mewtwo,Fácil
27,Qual o nome do caranguejo laranja com uma grande pinça?,krabby,Fácil
28,Que Pokémon é feito inteiramente de código de programação?,porygon,Fácil
29,Qual dos Pokémon iniciais de Kanto é do tipo Água?,squirtle,Fácil
30,Qual o nome do Pokémon que tem um alho-poró como sua arma?,farfetchd,Fácil
31,Que Pokémon evolui de Bulbassauro e tem uma flor parcialmente aberta em suas costas?,ivysaur,Fácil
32,"Qual é a evolução final do Bulbassauro, com uma grande flor nas costas?",venusaur,Média
33,Qual é a primeira evolução do Charmander?,charmeleon,Fácil
34,Qual é a primeira evolução do Squirtle?,wartortle,Fácil
35,Que Pokémon inseto evolui para Metapod?,caterpie,Fácil
36,Em que casulo o Caterpie se transforma antes de virar uma Butterfree?,metapod,Fácil
37,Qual Pokémon borboleta é a forma final do Caterpie?,butterfree,Fácil
38,Que Pokémon larva venenosa é a contraparte do Caterpie?,weedle,Fácil
39,Em que casulo o Weedle se transforma?,kakuna,Fácil
40,Qual Pokémon abelha venenosa é a evolução final do Weedle?,beedrill,Média
41,Que pequeno pássaro Pokémon é comumente encontrado nas primeiras rotas de Kanto?,pidgey,Fácil
42,Qual é a evolução do Pidgey?,pidgeotto,Fácil
43,Qual é a majestosa evolução final do Pidgey?,pidgeot,Média
44,Qual Pokémon rato de pelo marrom é conhecido por seus grandes dentes?,raticate,Fácil
45,Que pássaro Pokémon tem um bico longo e afiado e evolui para Fearow?,spearow,Fácil
46,Qual é a evolução intimidadora do Spearow?,fearow,Média
47,"Que Pokémon cobra venenosa tem o nome derivado de ""snake"" ao contrário?",ekans,Fácil
48,"Qual é a evolução do Ekans, com um padrão assustador em sua barriga?",arbok,Média
49,"Qual é a evolução do Pikachu, que pode ser obtida com uma Pedra do Trovão?",raichu,Fácil
50,Que Pokémon terrestre se enrola como uma bola para se proteger?,sandshrew,Fácil
51,"Qual é a evolução do Sandshrew, com grandes garras e espinhos nas costas?",sandslash,Média
52,Qual Pokémon venenoso fêmea evolui para Nidorina?,nidoran♀,Fácil
53,Qual é a segunda forma na linha evolutiva do Nidoran♀?,nidorina,Média
